Company Name,Type,Traded,Traded as,ISIN,Domain,Industry,Founded,Founders,Headquarters,Number of locations,Area served,Products,Services,Revenue,Operating income,Net income,Total assets,Total equity,Key people,Number of employees,Subsidiaries,Divisions,Website
CYREN,Public,Nasdaq,CYRNTASE,,Software/Hardware,IT Security Software Information Technology,1991,,"U.S. Headquarters in McLean, VA, United States",,,Web security services  Email security services  Threat intelligence services  DNS security  Cloud sandboxing,, US$ 35.9 million ,,,,,Brett Jackson (CEO)  Mike Myshrall (CFO)  Richard Ford (CTO),219,"Cyren Inc., formerly known as Commtouch Inc. (Delaware) Cyren Germany GmbH & Co KG formerly known as eleven Gesellschaft zur Entwicklung und Vermarktung von Netzwerktechnologien mbH (Germany) Cyren GmbH (Germany) Cyren UK Ltd (United Kingdom) Cyren Iceland hf formerly known as Commtouch Icelandhf (Iceland)",,cyren.com
CyrusOne,Public,Nasdaq,CONES&,,Finance/Insurance,Real estate investment trust,2001,,"Dallas, Texas",,,Data Centers,, $981 million ,, $41 million, $6.142 billion , $2.434 billion ," Alex Shumate, ChairmanBruce W. Duncan, CEO and PresidentDiane M. Morefield, CFO",452,,,cyrusone.com
Cytel,Private,,,,Software/Hardware,Clinical trial servicesStatistical softwareBiotechnology,1987,,"Cambridge, Massachusetts, United States",,,EastLogXactStatXactCompassACES,,Undisclosed,,,,,"Yannis Jemiai (SVP, Strategic Consulting and Software)Jim Baker (SVP, Clinical Research Services)Joshua Schultz (CEO)Irving Dark (SVP, Clinical Research Services)",,,,www.cytel.com
Cytosorbents Corporation,,Nasdaq,CTSO,,Healthcare,Critical care,,,"Monmouth Junction, New Jersey, USA",,,CytoSorb,,,,,,,,160,,,Official website
CytRx,,Nasdaq,CYTR,,Biotechnology,Biopharmaceutical research and development,,,United States,,,,,,,,,,,,,,www.cytrx.com †
D2h,Subsidiary,NASDAQ,VDTH,,Media,Satellite television,Jun-09,Saurabh Dhoot,"Mumbai, India",,India,"satellite pay television, pay-per-view, streaming television",,,,,,,Anil Kumar Dua (CEO)Saurabh Dhoot (Chairman),,,,d2h.com
Daily Journal Corporation,Public,Nasdaq,DJCO,,Software/Hardware,Publishing and Technology,1986,,"Los Angeles, California, United States",,,,,US$48.7 million ,,,,,"Charles T. Munger, ChairmanGerald Salzman, Chief Executive Officer",250,Journal Technologies,,dailyjournal.com
Daktronics,Public,Nasdaq,DAKTS&,,Electronics,Electronics,1968,Aelred J. KurtenbachDuane Sander,"Brookings, South Dakota, United States",,,Timing and Display systems,,US$610.53 million ,,US$5.56 million,,,"Aelred J. Kurtenbach, Co-Founder and ChairmanReece Kurtenbach, President, CEO","2,500",,,daktronics.com
DallasNews Corporation,Public,Nasdaq,DALN,,Media,Newspapers,2008,,"Dallas, Texas, United States",,,List of newspapers,, US$ 154.219 million , US$ -15.573 million , US$ -6.872  million, US$ 123.215 million , US$ 46.408 million ,"Robert W. Decherd(Chairman, President and CEO)",743,,,www.dallasnewscorporation.com
Daseke Inc.,Public,Nasdaq,DSKE,,Transportation/Logistics,Transportation,2008,Don Daseke,Addison,,North America,,"Flatbed Trucking, Specialized Trucking Services",,,,,,,"4,500",,,
Data I/O,Public,Nasdaq,DAIO,,Manufacturing,Manufacturer of programming and automated device,1969,,"Redmond, Washington, United States",,,,,,,,,,,,,,www.dataio.com
Datadog,Public,Nasdaq,DDOG,,Service,System Monitoring,2010,"Olivier Pomel, Alexis L√™-Qu√¥c","New York City, U.S.",,Worldwide,Datadog,, US$802 million ,,,,,"Olivier Pomel (CEO), Alexis L√™-Qu√¥c (CTO)","2,606",,,www.datadoghq.com 
Datawatch Corporation,Public,NASDAQ,DWCH,,Software/Hardware,Computer software,1985,,"Bedford, MA, United States","7 (Bedford, New York, Greensboro, Maidenhead, Frankfurt, Stockholm, Manila)",,"Monarch Complete, Monarch Server (Automation, Content, Report Mining), Monarch Swarm, Monarch Table Extractor",,,,,,,,139,,,Datawatch.com
Dave & Buster's,Public,Nasdaq,PLAYS&,,Hospitality,Entertainment/Restaurant (Eatertainment),1982,"David O. CorriveauJames W. ""Buster"" Corley","Dallas, Texas, U.S.",143,,,,,,,,,"Brian A. Jenkins, CEO",,,,daveandbusters.com
DavidsTea,Public,Nasdaq,DTEA,,Retail,Tea and tea accessory retailer,2008,David Segal  Herschel Segal,"Mount Royal, Quebec, Canada",18,"Canada, US","Loose-leaf tea, tea bags",,41.2 million ,,,,,Herschel Segal (executive chairman)Frank Zitella (COO/CFO)Sarah Segal (CEO/CBO),,,,davidstea.com
Del Taco,Public,Nasdaq,TACO,,Hospitality,Restaurants,"September 16, 1964",Ed HackbarthDavid Jameson,"Lake Forest, California, U.S."," 596 as of December †29, 2020[update]","Western United StatesSouthern United StatesMetropolitan DetroitColumbus metropolitan area, Ohio",TacosMission burritosMexican style cuisineSaladsHamburgersFrench friesMilkshakes,, US$513 million ,,,,,"John D. Cappasola, Jr. (CEO)","8,000",,,deltaco.com
Delcath Systems,Public,NASDAQ,DCTH,,Biotechnology,Pharmaceutical,,,"Wilmington, Delaware",,,,Pharmaceutical and medical device company focused on oncology,,,,,,,,,,delcath.com
Denny's,Public,Nasdaq,DENN,,Hospitality,Restaurants,1953,Harold ButlerRichard Jezak.,"Spartanburg, South Carolina, U.S.","1,702",,,, US$ 541.39 †million , US$164.98million , US$117.41 million, US$460.387million , US$,,"3,100",,,www.dennys.com
Dentsply Sirona,Public,Nasdaq,XRAYS&,,Manufacturing,Dental equipment,2016,,"Charlotte, North Carolina, U.S.",,,,, US$4.03 billion,,,,,Donald M. Casey Jr. (CEO),"16,000",,,dentsplysirona.com
Descartes Systems Group,Public,TSX,DSG,,Software/Hardware,Computer softwareCloud computingSupply chain management,"May 22, 1981",,"Waterloo, Ontario, Canada",,Worldwide,Software-as-a-service applications for logistics and supply chain management,Descartes Global Logistics Network, US$ 325.8 million ,, US$ 37.0 million, US$ 942.6 million , US$ 821.7 million ,"Edward J. Ryan, CEOJ. Scott Pagan, President and COOAllan Brett, CFO",1600,,,www.descartes.com
Destination Maternity,Private,NASDAQ,DEST,,Retail,Retail,1982,,"Moorestown, New Jersey, U.S.",,,ClothingMaternity Clothing,,,,,,,,,Motherhood MaternityA Pea in the Pod,,destinationmaternitycorp.com
Destination XL Group,Public,Nasdaq,DXLG,,Retail,Retail,1976,Calvin MargolisStanley Berger,"Canton, Mass., U.S.",DXL Men's Apparel:176DXL Outlet:11Casual Male XL:118  Casual Male XL Outlet:39 Rochester Clothing:5,"United StatesCanadaLondon, England",ClothingHome & Living Items,,US$467.51 million,,US$42.63 million,,,"Seymour Holtzman, Chairman  Harvey S Kanter, President/CEO",3092,,Destination XLRochester ClothingCasual Male XLShoes XLLiving XL,DestinationXL.com
Dexcom,Public,Nasdaq,DXCM,,Manufacturing,Manufactures (CGM),1999,,"San Diego, California, U.S.",,,Medical devices,, US$1.032 billion ,,,,,"Kevin Sayer, CEO & President","3,900",,,dexcom.com
Diamondback Energy,Public,Nasdaq,FANGS&,US25278X1090,Energy,Petroleum industry,,,"Midland, Texas, U.S.",,,PetroleumNatural gasNatural gas liquids,, US$2.813 billion ,, -US$4.517 billion , US$17.619 billion , US$9.804 billion ," Steven E. West, ChairmanTravis D. Stice, CEOMichael L. Hollis, PresidentKaes Van't Hof, CFO",732,,,www.diamondbackenergy.com
Digi International,Public,Nasdaq,DGIIS&,,Miscelleneous,Industrial Internet of Things (IIoT),1985,,"Hopkins, Minnesota, United States","United States, Canada, Australia, Germany, Spain, UK, Singapore, China, Japan",,,, US$254.2 million,,,,,,550,,,www.digi.com
Digimarc,Public,Nasdaq,DMRC,,Software/Hardware,Technology,1995,Geoff Rhoads,"9405 SW Gemini Dr, Beaverton, Oregon, United States",,Worldwide,,,c. US$35 †million ,,,,,"Riley McCormack, CEO",170,,,www.digimarc.com
Dime Community Bank,Public,Nasdaq,DCOMS&,,Banking,Banking,1864,,"Hauppauge, New York, U.S.",60+ branches (2021),"Bronx, Brooklyn, Manhanttan, Nassau, Queens, and Suffolk.",,"Financial services, real estate loans",,,"US$35,719,000","US$6,779,944,000","US$699,430,000",,800,,,dime.com
Diodes Incorporated,Public,Nasdaq,DIODS&,,Software/Hardware,Semiconductors,19591,,"Plano, Texas, United States",31,Worldwide,"High-quality application specific standard products within the broad discrete, logic, and analog semiconductor markets.",," $1,229 Million", $134.3 Million USD , $99.2 millionUSD  ,,,"Keh-Shew Lu, Chairman, Chairman, President, and CEO","9,000",,,www.diodes.com
Discovery Laboratories,Public,Nasdaq,WINT,,Biotechnology,Healthcare biotechnology,1992,,"Warrington, Pennsylvania, United States",,,,Respiratory critical care,$ 510.00K,,,,,"John G. Cooper  (Chief Executive Officer, President, Chief Financial Officer, and Director) Thomas F. Miller Ph.D.  (Chief Operating Officer) Mr. John A. Tattory   (Chief Accounting Officer) (Dec 31, 2012)",119,,,www.discoverylabs.com
"Discovery, Inc.",Public,Nasdaq Series A,DISCA,US25470F1049US25470F3029,Media,Mass media,"June 17, 1985",John S. Hendricks,"230 Park Avenue South, New York City, New York, U.S.",,Worldwide,Factual television,, US$10.671 billion , US$2.515 billion , US$1.355 billion , US$34.087 billion , US$12.000 billion ,Robert Miron (Chairman)David M. Zaslav (President and CEO),"9,800",EurosportAll3Media (50% with Liberty Global)Group Nine Media (35%)Motor Trend Group (JV with Source Interlink)Play Sports Group,Discovery Networks U.S.Discovery Networks Intl.Discovery New ZealandDiscovery EducationDiscovery StudiosDiscovery Global EnterprisesDiscovery Golf,corporate.discovery.com
Dish Network,Public,Nasdaq,DISHS&,,Telecom,Satellite televisionTelecommunications,1980,Jim DeFrancoCharlie ErgenCantey Ergen,"Englewood, Colorado, U.S.",,Americas,"Direct-broadcast satellite, pay television, pay-per-view, over-the-top media services",, US$15.493 billion , US$2.582 Billion , US$1.762 billion , US$38.239 billion , US$13.780 Billion ,Charlie Ergen (Chairman)Erik Carlson (President and CEO),"16,000",Dish WirelessBoost MobileTing MobileRepublic WirelessSling TVSling MediaBlockbusterOnTech Smart Services,,www.dish.com
Diversey Holdings,Public,Nasdaq,DSEY,,Chemical,"Chemicals, Hygiene, Sanitization",,,"Fort Mill, South Carolina",,,"Cleaning, food safety, business-to-business products and services",,$2.63 billion,,,,,,"8,600",,,www.diversey.com
DLocal,Public,Nasdaq,DLO,,Finance/Insurance,Financial technology,2016,,,,,,,,,,,,Executive team:Sebasti√°n KanovichJacobo SingerSumita PanditDiego Cabrera CanayHern√°n di ChelloBoard Members:Mart√≠n EscobariEduardo AzarAndr√©s BzurovskiSergio Fogel,300,,,dlocal.com
Docebo,Public,TSX,DCBO,,Software/Hardware,Information Technology,2005,,"Toronto, Ontario, Canada",,,,Learning management system,,,,,,Claudio Erba (CEO),,,,docebo.com
DocuSign,Public,Nasdaq,DOCU,,Software/Hardware,business software industry †,2003,,"San Francisco, California, U.S.",21 †(2020),,Electronic signature and digital transaction management software and services,," US$1,453 million ",,,,,Daniel  Springer (CEO)Tom Gonser (Co-founder)Court Lorenzini (Co-founder)Maggie Wilderotter (Chairman),6200,,,docusign.com
Dollar Tree,Public,Nasdaq,DLTR,,Retail,"Retail, variety, discount",1986,,"Chesapeake, Virginia, U.S.","15,288 (February 2020) ",,"Food and snacks, health and beauty care products, housewares, books and toys",, US$22.246 billion , US$1.999 billion , US$1.714 billion , US$16.333 billion , US$7.182 billion ,Mike Witynski  (CEO),"1,93,100",Family Dollar,Dollar Tree Canada,dollartree.com
Domo (company),Public,Nasdaq,DOMO,,Software/Hardware,Computer Software,,Josh James,"American Fork, Utah, US",,Worldwide,,,$210.2 Million,,,,,"Josh James (Founder),(CEO)",824,,,domo.com
DouYu,Live streaming,Nasdaq,DOYU,,Entertainment/Gaming,Video Live Streaming,,,,,,,,,,,,,,,,,
DraftKings,Public,Nasdaq,DKNG,,Entertainment/Gaming,Daily fantasy sportsSports betting,2012,Jason RobinsMatt KalishPaul Liberman,"Boston, Massachusetts, U.S.",,,,,,,,,,Jason Robins (CEO)Paul Liberman (COO)Matt Kalish (CRO),869,,,draftkings.com
Dropbox,Public,Nasdaq,DBX,,Software/Hardware,"Cloud storage, File hosting",Jun-07,Drew HoustonArash Ferdowsi,"San Francisco, California, United States",,,Cloud storageFile synchronizationPersonal cloudClient software,, US$1.913 Billion ,US$277.0 Million ,US$256.3 million, US$2.387 Billion , US$333.8 Million ,Drew Houston (CEO)Ajay Vashee (CFO),2548,,,
DryShips,Private,NASDAQ,DRYS,,Transportation/Logistics,Shipping,2004,,"Athens, Greece",,,,,,,,,,"George Economou (CEO, Chairman)",,,,http://www.dryships.com/
DSP Group,Public,Nasdaq,DSPGS&,,Telecom,"VoIP, Telecommunications, Communication systems",1987,,"San Jose, California",,,"IP Telephony, Media Gateways, Wireless chipsets, Mobile VoIP",, US$ 225.48 million , $ 9.68 million , $ 7.42 million,,,"Eliyahu Ayalon (Chairman),  Ofer Elyakim (CEO)",409,,,www.dspg.com
Duolingo,Public,Nasdaq,DUOL,,Education,"Online education, Professional certification, Translation, Crowdsourcing",    30 November 2011,"Luis von Ahn, Severin Hacker","Pittsburgh, Pennsylvania, United States",,Worldwide,,"Language courses, Duolingo English Test, Duolingo for Schools, Tinycards flashcard app",$161.7 million,,,,,,400,,,www.duolingo.com
Dynamic Materials Corporation,,Nasdaq,BOOM,,Metal,Metalworking business,1971,,,,,,,,,,,,,,,,www.dmcglobal.com
DZS,Public,Nasdaq,DZSI,,Manufacturing,Communication Equipment,1999,," Plano, Texas",,,,,"US$ 300,640,000 ","US$-12,525,000 ","US$-23,082,000 ",,,"Charlie Vogt, CEO Tom Cancro, CFO Andrew Bender, CTO",800,,, www.dzsi.com  www.investor-dzsi.com
E. W. Scripps Company,Public,Nasdaq,SSPS&,,Media,"Broadcast television, broadcast radio","November 2, 1878",Edward W. Scripps,"Cincinnati, Ohio, United States",,,,,US$ 1.42 billion ,US$127 million ,,,,Rich Boehne (Chairman) Adam P. Symson (President & CEO),,Ion MediaKatz Broadcasting,,www.scripps.com
EagleBank,Public,Nasdaq,EGBNS&,,Finance/Insurance,Financial services,"July 20, 1998",Ronald D. Paul,"Bethesda, Maryland",20 branches,,Banking,, US$367.268 Million , US$176.145 Million , US$132.217 million, US$11.118 Billion , US$1.241 Billion ,"Susan G. Riel, President, & CEOCharles D. Levingston, CFONorm Pozez, Chairman",515,,,www.eaglebankcorp.com
Eargo,Public,Nasdaq,EAR,,Manufacturing,Hearing aid manufacturer,2010,Florent Michel (Inventor)Raphael MichelDaniel Shen,"San Jose, California, U.S.",,United States,Hearing aids,, $45 million ,,,,,"Christian Gormsen (President, CEO, and Director)",184,,,Eargo.com
East Boston Savings Bank,Public,Nasdaq,EBSB,,Finance/Insurance,Financial services,1848,,"Peabody, Massachusetts",39,,,,, US$ 236.675million , US$ 55.771 million, US$ 6.178billion ,,"Richard J. Gavegnano(President, CEO & Chairman)",550,,,EBSB.com
East West Bancorp,Public,Nasdaq,EWBCS&,,Banking,Banking,1973," F. Chow Chan, Betty Tom Chu, Richard K. Quan, Gilbert L. Leong, Philip Chow, John A Nuccio, Christopher L. Pocino, and John M. Lee",Southern California,120,"IN USA - California, Georgia, Massachusetts, Nevada, New York, Texas and Washington, IN China - Hong Kong, Shanghai, Shantou and Shenzhen",,,,,, US$42.1 billion,,,,East West Bank,,www.eastwestbank.com
Eastern Bank,Public,Nasdaq,EBC,,Banking,Banking,1818,,"Boston, Massachusetts, U.S.",,,,,US$86.7 million,,US$62.7 million, US$11 billion  US$10.5 billion ,,"Robert F. Rivers, Chairman and CEO",,,,www.EasternBank.com
EBay,Public,Nasdaq,EBAY,,Retail,E-commerce,"September 3, 1995",Pierre Omidyar,"San Jose, California, U.S.37 ∞17 Ä≤43 Ä≥N 121 ∞55 Ä≤34 Ä≥WÔªø / Ôªø37.2952 ∞N 121.9260 ∞WÔªø / 37.2952; -121.9260",,Worldwide,,Online shopping, US$10.8 billion , US$2.321 billion , US$1.792 billion , US$18.174 billion , US$2.87 billion ,Thomas J. Tierney (chairman)Jamie Iannone (president Äã †& CEO),"13,300","Auction Co., iBazar, GittiGidiyor, G-Market, Half.com, Qoo10.jp",,www.ebay.com
EchoStar,Public,Nasdaq,SATS,,Telecom,Telecommunication,1980,,"Englewood, Colorado, United States",,,Satellite Services,, US$1.887 Billion , US$112.473 Million , -US$40.105 million, US$7.073 Billion , US$3.607 Billion ,Charles Ergen (Chairman)Michael Dugan (CEO),2000,Hughes Network SystemsEchoStar Mobile,,echostar.com
Editas Medicine,Public,Nasdaq,EDIT,,Biotechnology,BiotechnologyGenome engineeringPharmaceutical,Nov-13,,"Cambridge, Massachusetts, United States",2,,,,,,,"US$508,885,000","US$262,437,000",James Mullen (President and CEO),208,,,www.editasmedicine.com
Education Management Corporation,Public,Nasdaq,EDMC,,Education,For-profit education,1962,,"Pittsburgh, Pennsylvania, United States",110 campuses,"United States, Canada",,,,,,,,"Mark A. McEachen (CEO, Chairman);Ryanne Dean, Talent Acquisition Manager",,,,www.edmc.edu
EGain,Public,Nasdaq,EGAN,,Software/Hardware,Cloud base Shoftware Company,1997,"Ashutosh Roy, Gunjan Sinha","Sunnyvale, California, United States",12 Worldwide,International,,, $76 million ,,,,,,,,,www.egain.com
EHang,Public,Nasdaq,EH,,Aerospace,Aerospace,2014,"Huazhi Hu, Yifang (Derrick) Xiong","Guangzhou, China (headquarters)",,Worldwide,"Autonomous aerial vehicles Ghost, Hexacopter, Ehang 184, Ehang 216",,,,,,,Huazhi Hu,233,,,www.ehang.com
EHealthInsurance,Public,Nasdaq,EHTHS&,,Finance/Insurance,Insurance,1997,,"Santa Clara, California",,,Health Insurance,, $251 million ,, $1 million, $439 million , $303 million ,"Scott Flanders, CEODerek N. Yung, CFO","1,079",,,www.ehealthinsurance.comwww.medicare.comwww.gomedigap.comwww.planprescriber.comwww.ehealthmedicare.com
El Pollo Loco (United States),Public,Nasdaq,LOCOS&,,Hospitality,"Casual dining restaurant, Restaurants",1974,Juan Francisco Ochoa,"Costa Mesa, California",487[citation needed],"California, Nevada, Arizona, Utah, Texas, Louisiana",Fire-grilled chicken and related Mexican food,,,,,,,"Larry Roberts (CEO,interim),(CFO)Miguel Lozano (COO)Jason Weintraub (CLO)",,,,elpolloloco.com
Elbit Imaging,Public,,,,Healthcare,"Medical imaging, Real Estate, Hotels Shopping Malls",1996,,"Tel-Aviv, Israel",,Worldwide,"Magnetic resonance,",,"US$ 1,049.19 million ",,,,,"Mordechai Zisser (Executive President), Shimon Yitzhaki (Chairman)","2,000","Plaza Centers N.V., Insightec, Gamida Cell Ltd. , Elbit Trade and Retail Ltd.",,elbitimaging.com
Elbit Systems,Public,TASE,ESLT,,Electronics,Defence Electronics,1966,,"Haifa, Israel",,,,,US$4.7 billion ,,US$470.8 million,,,Michael Federmann (Chairman)Bezhalel Machlis (CEO and President),"17,000",Elbit Systems of AmericaElbit Systems Electro-Optics - ElopElbit Systems Land and C4IElbit Systems EW and SIGINT  Äì Elisra,,www.elbitsystems.com
Electronic Arts,Public,Nasdaq,EA,,Entertainment/Gaming,Video games,"May 27, 1982",Trip Hawkins,"Redwood City, California, US",,Worldwide,See List of Electronic Arts games,, US$5.54 †billion †, US$1.45billion, US$3.04 billion , US$11.11billion, US$7.46billion,"Andrew Wilson (CEO and chairman)Blake Jorgensen (CFO, COO)","9,800",See  ß †Development studios,,ea.com
ELong,Public,,,,Travel,Travel agency,1999,,"Beijing, China",,,,,,,,,,,,,,www.elong.net
Emmis Communications,Public,NASDAQ,EMMS,,Media,Broadcasting,1980,,"Indianapolis, Indiana",,,,Radio,"$114,131,000",,,,,Jeffrey Smulyan(founder),350,,,www.emmis.com/
Empire Resorts,Public,Nasdaq,NYNY,,Entertainment/Gaming,Gambling,2003,,"Monticello, Sullivan County, New York, United States",,,Monticello Raceway,,US$ 752.9 Million,,,,,"Emanuel Pearlman(Chairman), Joseph D'Amato (CEO), Laurette Pitts (CFO), Charles Degliomini (Executive Vice President) Nannette Horner (Chief Compliance Officer)",311,MRMI,,http://empireresorts.com
Encore Capital Group,Public,Nasdaq,ECPGS&,,Finance/Insurance,"Financial services,Debt buyerDebt-collection",1953,,"San Diego, California, United States",,,Specialty finance,Collections and recoveries, US$ 1.4 billion,,,,,"Ashish Masih,President & CEO","8,300","Midland Credit Management, Inc.",,Encorecapital.com
Endo International,Public liability company,Nasdaq,ENDPS&,IE00BJ3V9050,Biotechnology,Pharmaceutical,1997,,"(Legal) Dublin, Ireland(Operational) Malvern, Pennsylvania, United States.",,,,," USD 3,468.8 billion ",,,,,Paul Campanelli (CEO) Blaise Coleman (CFO),"2,910",,,endo.com
Energy Recovery,Public,Nasdaq,ERII,,Energy,"Oil & Gas, Chemicals, Water",1992,Leif Hauge,"San Leandro, California",5,Worldwide,"PX Pressure Exchanger, VorTeq, IsoBoost, IsoGen",,"$86,942,000 ",,,"$188,774,000 ","$136,013,00 ","Robert Mao, CEOHans Peter Michelet, Executive Chairman",188,Energy Recovery Iberia S.L.ERI Energy Recovery Ireland Ltd.,,energyrecovery.com
Enphase Energy,Public,Nasdaq,ENPHS&,US29355A1079,Energy,"Renewable Energy, Solar Energy, High tech",2006,Raghu Belur and Martin Fornage,"Fremont, California, U.S.",,,"microinverters, home energy storage",, US$774.4 million , US$186.4 million , US$134 million,,,"Badri Kothandaraman, CEO",1500,,,enphase.com
Entegris,Public,Nasdaq,ENTG,,Electronics,Microelectonics materials and components,1966,,"Billerica, Massachusetts, U.S.",,,,, US$1.6 billion ,,,,,"Bertrand Loy, CEO & PresidentGreg Graves, CFO","5,800",,,entegris.com
EPlus,Public,Nasdaq,PLUSS&,,Software/Hardware,Technology solutions[buzzword] provider,1990,,"Herndon, Virginia, US",,United States,,,$1.6 billion,,,,,,1500,,,
Equinix,Public,Nasdaq,EQIXS&,US29444U7000,Telecom,Internet,1998,,"Redwood City, California, United States",,,Data centers,, US$5.998 billion , US$1.053 billion , US$370 million, US$27.01 billion , US$10.63 billion ,Jay Adelson (Founder)Al Avery (Founder)Charles J. Meyers (CEO and President),"10,013",,,equinix.com
Ericsson,Public,Nasdaq Stockholm,ERIC,SE0000108649  SE0000108656  ,Telecom,Telecommunications equipmentNetworking equipment,1876,Lars Magnus Ericsson,"Kista, Stockholm, Sweden",,Worldwide,"Mobile and fixed broadband networks, consultancy and managed services, TV and multimedia technology",, 232.390 billion kr , 27.808 billion kr , 17.623 billion kr , 271.530 billion kr , 85.177 billion kr ,Ronnie Leten (Chairman) B√∂rje Ekholm (President and CEO (Chief Executive Officer)),"1,00,824",CradlepointEmodoiconectivinCode ConsultingRed Bee Media,,www.ericsson.com
Erie Insurance Group,Public,Nasdaq,ERIE,,Finance/Insurance,Insurance,"April 20, 1925",H.O. Hirt O.G. Crawford,"Erie, Pennsylvania, U.S.","12,400 Independent insurance agents located in 12 U.S. states and the District of Columbia",,"Property, casualty and life insurance",,,,,,,Timothy G. NeCastro (CEO) Thomas B. Hagen (Chairman),"5,260",,,www.erieinsurance.com
Esperion Therapeutics,Public,Nasdaq,ESPR,,Biotechnology,Pharmaceutical,2008,Dr. Roger Newton,"Ann Arbor, Michigan",,,,,,,,US$78.3 million US$7.31 million ,,Timothy M. Mayleben  (president and CEO),,,,Esperion.com
Etsy,Public,Nasdaq,ETSYS&,,Retail,E-commerce,"June 18, 2005",Robert KalinChris MaguireHaim SchoppikJared Tarbell,"Brooklyn, New York, U.S.",,,,, US$1.725 Billion , US$424.009 Million , US$349.246 million, US$2.404 Billion , US$742.424 Million ,,"1,400",,,etsy.com
Euronet Worldwide,Public,Nasdaq,EEFT,,Finance/Insurance,"Financial services, Electronic funds transfer, Retail",1994,,"Leawood, Kansas",,,,,$2.487 billion ,$46.6 million ,-$3.4 million,$4.927 billion ,$1.446 billion ,"Michael J. Brown(Chairman, CEO, and President)Kevin J. Caponecchi(Executive Vice President and CEO, epay, Software and EFT Asia Pacific Division)Rick L. Weller[citation needed](Executive Vice President and CFO)Scott ClaassenJuan C. Bianchi(Executive Vice President and CEO, Money Transfer Segment)Nikos Fountas(Executive Vice President and CEO, EFT Europe, Middle East and Africa Division)Martin L. Br√ºcknerTony Warren","7,700",,epayRia Money TransferXEEFT (Electronic Financial Transactions),www.euronetworldwide.com
Euronet Worldwide,Public,Nasdaq,EEFT,,Finance/Insurance,"Financial services, Electronic funds transfer, Retail",1994,,"Leawood, Kansas",,,,,$2.487 billion ,$46.6 million ,US$3.4 million,US$4.927 billion ,US$1.446 billion ,"Michael J. Brown(Chairman, CEO, and President)Kevin J. Caponecchi(Executive Vice President and CEO, epay, Software and EFT Asia Pacific Division)Rick L. Weller[citation needed](Executive Vice President and CFO)Scott ClaassenJuan C. Bianchi(Executive Vice President and CEO, Money Transfer Segment)Nikos Fountas(Executive Vice President and CEO, EFT Europe, Middle East and Africa Division)Martin L. Br√ºcknerTony Warren","7,700",,epayRia Money TransferXEEFT (Electronic Financial Transactions),www.euronetworldwide.com
Euroseas,Public,NASDAQ,ESEA,,Transportation/Logistics,Shipping,Chios,Nikolaos F. Pitta,,,,,,,,,,,"Mr Aristides J. Pittas ó Chairman, Chief Exec. Officer and Press
Dr Anastasios Aslidis ó Chief Financial Officer, Principal Accounting Officer, Treasurer",,,,
Everbridge,Public,Nasdaq,EVBG,,Telecom,Critical Communications,,,"Pasadena, California and Burlington, Massachusetts",,Worldwide,Incident management IT alerting Secure messaging Internet of Things Community Engagement Cell Broadcast,, $271 Million,,,,,Jaime Ellertson (Chairman),"1,344",,,www.everbridge.com
EverQuote,Public,Nasdaq,EVER,,Finance/Insurance,Online Insurance,2011,"Seth Birnbaum, Tomas Revesz","Cambridge, Massachusetts, United States",,,,,,,,,,Jayme Mendal (CEO)Tomas Revesz (Chief Architect)John Wagner (CFO),,,,everquote.com
Everspin Technologies,Public,Nasdaq,MRAM,,Software/Hardware,Semiconductors,2008,,"Chandler, Arizona, USA",,Worldwide,"MRAM memory, non-volatile memory products",,,,,,,"Darin Billerbeck, Interim President and CEO",,,,everspin.com
Exa Corporation,Public,Nasdaq,EXA,,Software/Hardware,Computer-aided engineering,"November 21, 1991",Kim Molvig,United States,,,PowerFLOWPowerTHERMPowerCOOLPowerACOUSTICSPowerCASEPowerDELTAPowerVIZPowerINSIGHTPowerREALITYExaCLOUD,,,,,,,,,,,exa.com
Exact Sciences (company),Public,Nasdaq,EXAS,,Healthcare,Molecular diagnostics,1995,"Stanley Lapidus, Anthony P. Shuber","Madison, Wisconsin, U.S.",,,"Cologuard, Oncotype DX, Oncotype MAP",, $1.49 Billion ,,,,,"Kevin Conroy(Chairman, President & CEO)Graham Lidgard(Chief Science Officer)","5,000",Subsidiary ListBiomatricaExact Sciences DevelopmentExact Sciences InnovationExact Sciences InternationalExact Sciences LaboratoriesExact Sciences ThriveGenomic HealthParadigm Diagnostics,,exactsciences.com
Exelixis,Public,Nasdaq,EXELS&,,Biotechnology,Biotechnology,Nov-94,,"Alameda, California, U.S.",,,,, US$ 1.0 Billion , US$ 165.91 million , US$ 154.23 million, US$ 655.29 million , US$ 284.96 million ,"Stelios Papadopoulos, Ph.D.(Chairman)Michael M. Morrissey, Ph.D.(President & CEO)",484,,,exelixis.com
Exelon,Public,Nasdaq,EXC,,Energy,Energy,"October 20, 2000",,"Chase TowerChicago, Illinois, U.S.",,,Electrical powerNatural gasNuclear,Electricity and natural gas distribution, US$33.039 Billion , US$2.823 Billion , US$1.954 Billion , US$129.317 Billion , US$34.868 Billion ,Christopher Crane(President and CEO),"33,383",,,www.exeloncorp.com
